userId,timestamp,review,item,helpfulness,gender,category,item_id,item_price,user_city,rating
4081,71900,Not always McCrap,McDonald's,3,M,Restaurants & Gourmet,41,30.74,4,1
4081,72000,I dropped the chalupa even before he told me to,Taco Bell,4,M,Restaurants & Gourmet,74,108.3,4,0
4081,72000,The Wonderful World of Wendy,Wendy's,4,M,Restaurants & Gourmet,84,69,4,1
4081,100399,They actually did it,"South Park: Bigger, Longer & Uncut",3,M,Movies,68,143.11,4,1
4081,100399,Hey! Gimme some pie!,American Pie,3,M,Movies,6,117.89,4,0
4081,100399,Good for sci-fi,Matrix,3,M,Movies,40,24.51,4,0
4081,100399,Scary? you bet!,Blair Witch Project,3,M,Movies,12,44,4,1
4081,101899,Fox - the 4th basic channel,FOX,4,M,Media,25,80,4,1
4081,112099,Amen!,Dogma,3,M,Movies,22,87.59,4,1
4081,122899,mama mia!,Olive Garden,3,M,Restaurants & Gourmet,49,32,4,1
4081,122999,"Let's go Furby hunting, Pa",The Original Furby,3,M,Kids & Family,78,22.38,4,0
4159,22304,Good Steak for a Good Value,Outback Steakhouse,4,M,Restaurants & Gourmet,50,25,10,1
4159,60203,"Although very simple to use, it is powerful and accurate",Google,4,M,Online Stores & Services,32,100.62,10,1
4159,70400,Good service but  too many busy signals,NetZero,3,M,Online Stores & Services,46,53,10,0
4159,70500,decent quick food,Taco Bell,4,M,Restaurants & Gourmet,74,108.3,10,0
4159,70500,good fast food with caution,Burger King,3,M,Restaurants & Gourmet,16,49,10,0
4159,70700,good fast food,Wendy's,4,M,Restaurants & Gourmet,84,69,10,1
4159,72500,food fast but service ain't,McDonald's,4,M,Restaurants & Gourmet,41,30.74,10,0
4159,91405,Great deal for those who watch a LOT of movies,NetFlix,4,M,Online Stores & Services,45,94.54,10,1
50,21900,MTV has really gone downhill - part II,MTV,4,F,Media,39,138,9,0
50,22000,The Worst Decision You can Make.,AOL (America Online),4,F,Online Stores & Services,0,145.84,9,0
50,22200,America's Worst ISP.,AOL (America Online),4,F,Online Stores & Services,0,145.84,9,0
50,70400,Cheat Codes - and How to use them!,The Sims 2: Open for Business for Windows,4,F,Games,79,27,9,1
50,70400,The Starter House Guide,The Sims 2: Open for Business for Windows,4,F,Games,79,27,9,1
50,70400,Simbits - Tidbits for The Sims.,The Sims 2: Open for Business for Windows,4,F,Games,79,27,9,1
50,71601,Lord of the Action Games,Diablo 2 - Bestseller Series for Windows,4,F,Games,21,52.51,9,1
50,92200,The Sims Wish List.,The Sims 2: Open for Business for Windows,4,F,Games,79,27,9,1
50,121300,Diablo II Earns High Marks.,Diablo 2 - Bestseller Series for Windows,4,F,Games,21,52.51,9,1
4,12200,Absolutely #1!!,The Legend Of Zelda Ocarina Of Time for Nintendo 64,4,M,Games,77,59,35,1
4,12800,"It's halarious baby, YEAH!",Austin Powers: The Spy Who Shagged Me,3,M,Movies,9,111,35,1
4,52700,This is no Epinions!,Treeloot.com,3,M,Online Stores & Services,81,94.83,35,0
4,52700,Action Filled Fun,Mission: Impossible II,4,M,Movies,42,144.28,35,1
4,52700,"Not bad, Bruce",Sixth Sense,4,M,Movies,65,41.16,35,1
4,52800,I don't know why....,MTV,4,M,Media,39,138,35,1
4,53100,Not too bad,AOL (America Online),3,M,Online Stores & Services,0,145.84,35,1
56,11600,For the Want of a Jacket,Talented Mr. Ripley,4,M,Movies,75,89,31,0
56,31800,Go Julia!,Erin Brockovich,4,M,Movies,24,129.9,31,1
56,40300,The Beginning,Star Wars Episode I: The Phantom Menace,4,M,Movies,71,23,31,1
56,41406,I am ONLY going to fly Southwest,Southwest Airlines,4,M,Hotels & Travel,69,108.69,31,1
56,42700,They've got everything!,eBay,4,M,Online Stores & Services,88,149,31,1
56,51300,Echo into Eternity,Gladiator,4,M,Movies,30,65.17,31,1
56,52001,Not Your Ordinary Fairy Tale,Shrek,4,M,Movies,63,75.14,31,1
56,52701,It Will Take You By Surprise,Pearl Harbor,4,M,Movies,53,141.75,31,1
56,62900,And the Children Will Learn,Patriot,4,M,Movies,51,73.65,31,1
56,71600,Who Needs Yellow Spandex?,X-Men,4,M,Movies,86,66.39,31,1
56,122299,This Hollow Ain't Sleepy,Sleepy Hollow,4,M,Movies,66,62,31,1
56,122599, Waste of good Film,Blair Witch Project,4,M,Movies,12,44,31,0
56,122899,Green Mile,Green Mile,4,M,Movies,33,140,31,1
4186,10405,"Outback Steakhouse: No rules, just right place provides a wonderful dining experience!",Outback Steakhouse,4,F,Restaurants & Gourmet,50,25,14,1
4186,22405,AOL: My second ISP should have been my first.....,AOL (America Online),4,F,Online Stores & Services,0,145.84,14,1
4186,31011,Delta Airlines: Super-friendly service makes up excellently for a few hassles ,Delta Air Lines,4,F,Hotels & Travel,20,116,14,1
4186,40404,"A marvelous online experience, even when not buying a thing!",Amazon.com,4,F,Online Stores & Services,3,129.82,14,1
4186,41610,"Galaxy Quest is a dead-on spoof of Star Trek and its cliches, fans",Galaxy Quest,4,F,Movies,29,67,14,1
4186,70404,Pearl Harbor: From Here to Inanity!,Pearl Harbor,4,F,Movies,53,141.75,14,0
4186,71104,We will watch your career with great interest....,Star Wars Episode I: The Phantom Menace,4,F,Movies,71,23,14,1
4186,71105,"Harry, yer a wizard....",J. K. Rowling - Harry Potter and the Sorcerer's Stone,4,F,Books,36,96,14,1
4186,81105,"Before this war is over, I'm going to kill you....",Patriot,4,F,Movies,51,73.65,14,1
4186,90509,"Tom Cruise and John Woo team up for watchable, if not great, Mission: Impossible II",Mission: Impossible II,4,F,Movies,42,144.28,14,0
4186,101608,"I tried to take it back, but it was too late.",Green Mile,4,F,Movies,33,140,14,1
74,12102,NetFlix Is Where We Rent From Now On,NetFlix,4,F,Online Stores & Services,45,94.54,34,1
74,12110,Ebay's Policy Of Hiding Who You?re Bidding Against Makes the Site Ripe for Abuse,eBay,4,F,Online Stores & Services,88,149,34,0
74,30601,A Rare Disappointment in the Outback (Boca Raton),Outback Steakhouse,4,F,Restaurants & Gourmet,50,25,34,0
74,33108,Southwest Airlines - Makes Air Travel Easy and Cheap For Us,Southwest Airlines,4,F,Hotels & Travel,69,108.69,34,1
74,42501,Boycotting MTV,MTV,4,F,Media,39,138,34,0
74,80310,Deep Blue Sea - Jurassic Park Meets Jaws,Deep Blue Sea,4,F,Movies,19,58.91,34,0
74,90402,"Erin Brockovich Proves You Can Hate the Main Character, but Still Love the Film",Erin Brockovich,4,F,Movies,24,129.9,34,1
74,91201,"New York City: Closed Right Now, But We'll Be Back!",New York City,4,F,Hotels & Travel,47,136,34,1
74,112306,How The Grinch Stole Christmas - Christmas Doesn't Come From a Store,How the Grinch Stole Christmas,4,F,Movies,34,65,34,1
74,120601,American Airlines: Security? We Don't Need No Stinkin' Security!,American Airlines,4,F,Hotels & Travel,4,61,34,0
74,122100,X-Men: The Blu-ray Review,X-Men,4,F,Movies,86,66.39,34,1
74,123000,At MyPoints.com Rewarding Yourself Has Never Been So Easy,MyPoints.com,4,F,Online Stores & Services,43,72,34,1
75,10601,Castaway: Wasted Potential.,Cast Away,4,M,Movies,17,126.5,17,0
75,11000,Flying The Uncertain Skies,United Airlines,4,M,Hotels & Travel,83,119.87,17,0
75,11200,It's only 30 minutes?!  Doh!,"Simpsons, The",4,M,Kids & Family,64,40,17,1
75,22200,The Sims: Smashingly good.,The Sims 2: Open for Business for Windows,4,M,Games,79,27,17,1
75,41300,Don't say anything if you've never used the machine.,Sony PlayStation 2 Slimline Console,4,M,Games,67,71.52,17,0
