userId,timestamp,review,item,rating,helpfulness,gender,category,item_id,item_price,user_city
4051,12807,Great job for what it is!,eBay,5.0,2.0,F,Online Stores & Services,88,149.0,39
4052,122899,Free Access Worth your Time,NetZero,5.0,0.0,F,Online Stores & Services,46,53.0,39
33,12700,AOL..I love you!!!!!!!!!!!!  ,AOL (America Online),5.0,4.0,F,Online Stores & Services,0,145.84,31
33,21000,EBAY!!!  I LOVE YOU!!!! :-)*,eBay,5.0,4.0,F,Online Stores & Services,88,149.0,31
33,22300,Blair Witch...Oh Come On.......,Blair Witch Project,1.0,4.0,F,Movies,12,44.0,31
33,30100,What is the &quot;Matrix&quot; Great Movie,Matrix,4.0,0.0,F,Movies,40,24.51,31
33,32100,Go down under Mateys!!!!!,Outback Steakhouse,5.0,4.0,F,Restaurants & Gourmet,50,25.0,31
33,52800,E-commerce..what do I do???,PayPal,4.0,0.0,F,Personal Finance,52,38.0,31
33,52800,A man who remade himself..,Wendy's,5.0,0.0,F,Restaurants & Gourmet,84,69.0,31
4053,22304,The best on the web.,Amazon.com,5.0,3.0,F,Online Stores & Services,3,129.82,22
4054,72401,The King beats the Clown,Burger King,5.0,0.0,M,Restaurants & Gourmet,16,49.0,28
4055,11900,I like getting paid for something I'd do anyway.,All Advantage,5.0,4.0,F,Online Stores & Services,1,23.08,3
4055,11900,Analytical Thinking for Toddlers,Blue's Clues,5.0,4.0,F,Kids & Family,14,62.01,3
4055,12000,New to this and having fun!,MyPoints.com,4.0,4.0,F,Online Stores & Services,43,72.0,3
4055,12300,Worst export of England since the tea taxes of the 1770's.,Teletubbies,1.0,4.0,F,Kids & Family,76,48.25,3
4055,12300,Not very family friendly...,United Airlines,2.0,4.0,F,Hotels & Travel,83,119.87,3
4056,12400,get paid to browse-in exchange for watching ads,All Advantage,4.0,0.0,M,Online Stores & Services,1,23.08,12
4058,100300,Erin Brockovich gets an A in my book,Erin Brockovich,5.0,3.0,F,Movies,24,129.9,25
4057,10900,Mixed feelings on this one.,Priceline Flight Reservations,3.0,4.0,F,Online Stores & Services,56,15.42,38
4057,10900,This was absolutely funny!,Austin Powers: The Spy Who Shagged Me,4.0,0.0,F,Movies,9,111.0,38
4057,11000,Awful On Line service!,AOL (America Online),1.0,4.0,F,Online Stores & Services,0,145.84,38
4057,11100,Time for Teletubbies!,Teletubbies,4.0,4.0,F,Kids & Family,76,48.25,38
4057,40800,What a great movie,Sixth Sense,5.0,4.0,F,Movies,65,41.16,38
4059,100803,Will remain the king of its genre. Amazon.com is a clear winner.,Amazon.com,5.0,0.0,F,Online Stores & Services,3,129.82,29
4060,30511,Quicken Loans was quicken easy (pun intended),Quicken Loans,5.0,3.0,M,Personal Finance,57,36.0,11
4061,12200,Very Intense Movie,Green Mile,5.0,4.0,F,Movies,33,140.0,19
4061,12500,Fave Free Card Site,Blue Mountain Arts eCards,5.0,0.0,F,Online Stores & Services,13,91.29,19
4061,12600,One that Pays,All Advantage,4.0,4.0,F,Online Stores & Services,1,23.08,19
4062,41706,Quicken loans = Quick way to lose money,Quicken Loans,1.0,0.0,F,Personal Finance,57,36.0,30
4063,100500,Luvs don't leak,Luvs Ultra Leakguards Stretch,5.0,0.0,M,Kids & Family,38,104.94,6
4064,121700,A fantastic service...IF you know how to use it,eBay,5.0,0.0,F,Online Stores & Services,88,149.0,7
34,12500,Tasteless Pie,American Pie,3.0,4.0,F,Movies,6,117.89,14
4065,62400,Just shut up and fly,Southwest Airlines,3.0,0.0,M,Hotels & Travel,69,108.69,20
4066,50700,Is This What Scott Intended?    @)???,Gladiator,3.0,4.0,M,Movies,30,65.17,33
4066,61400,Rife with Educational Riffs     @)???,"South Park: Bigger, Longer & Uncut",3.0,4.0,M,Movies,68,143.11,33
4066,70500,This Revolution Needs Another Version @)???,Patriot,2.0,4.0,M,Movies,51,73.65,33
4066,80200,Submitted for Your Approval  @)???  TV  Write Off,NBC,3.0,4.0,M,Media,44,92.0,33
4066,112900,The Brakes Stop Here,Unbreakable,2.0,4.0,M,Movies,82,51.13,33
4067,62401,Subway is ok,Subway,3.0,3.0,F,Restaurants & Gourmet,73,48.0,27
4068,80600,Washed up,Perfect Storm,1.0,3.0,M,Movies,54,129.87,37
4069,52500,Always consider Delta when planning a trip,Delta Air Lines,5.0,4.0,M,Hotels & Travel,20,116.0,38
4070,121103,Why Use Amazon? What Advantage Is There?,Amazon.com,1.0,2.0,F,Online Stores & Services,3,129.82,39
4071,20206,Netflix was once great; not anymore,NetFlix,2.0,4.0,M,Online Stores & Services,45,94.54,31
4071,62008,I am a very disappointed ebay customer.,eBay,2.0,0.0,M,Online Stores & Services,88,149.0,31
4072,10600,Bank of America student accounts,Bank of America,1.0,4.0,M,Personal Finance,10,59.21,31
4073,91100,How to make a small fortune on ebay,eBay,5.0,4.0,F,Online Stores & Services,88,149.0,22
35,72000,No problems,Bank of America,5.0,3.0,F,Personal Finance,10,59.21,32
4074,13000,THE BEST ONES AROUND ,Huggies Ultra Trim Diapers,5.0,0.0,M,Kids & Family,35,50.0,34
4074,52400,Great Site ,Blue Mountain Arts eCards,5.0,3.0,M,Online Stores & Services,13,91.29,34
4074,52400,Great,Alta Vista (by 1stUp),4.0,3.0,M,Online Stores & Services,2,46.63,34
4074,52400,buyer beware,AOL (America Online),1.0,3.0,M,Online Stores & Services,0,145.84,34
4075,10606,Delta Disappoints Again,Delta Air Lines,4.0,4.0,F,Hotels & Travel,20,116.0,22
4075,71805,Pleasantly surprised,United Airlines,5.0,3.0,F,Hotels & Travel,83,119.87,22
4075,80305,Southwest Exceeds Expectations Every Time,Southwest Airlines,5.0,3.0,F,Hotels & Travel,69,108.69,22
4075,80305,Northworst Lives Up to its Nickname,Northwest Airlines,1.0,4.0,F,Hotels & Travel,48,82.0,22
4075,82305,Nothing Special in the Air,American Airlines,3.0,4.0,F,Hotels & Travel,4,61.0,22
4076,40201,Come Eponia! To the castle!,The Legend Of Zelda Ocarina Of Time for Nintendo 64,5.0,4.0,M,Games,77,59.0,26
36,12700,A Modern Day Jaws,Deep Blue Sea,4.0,3.0,F,Movies,19,58.91,31
36,12800,Not Really An Advantage,All Advantage,2.0,4.0,F,Online Stores & Services,1,23.08,31
36,52300,I Got Booted Due To What???,AOL (America Online),2.0,0.0,F,Online Stores & Services,0,145.84,31
36,62900,Why Do Men Justify Death?,Patriot,5.0,0.0,F,Movies,51,73.65,31
4077,81000,Spedia: An Honest Opinion,Spedia,2.0,3.0,F,Online Stores & Services,70,58.32,29
4077,112499,AOL: AOHELL,AOL (America Online),2.0,4.0,F,Online Stores & Services,0,145.84,29
4077,112599,AOL= AOSPAM,AOL (America Online),1.0,4.0,F,Online Stores & Services,0,145.84,29
4077,112999,AOL = Busy Signal,AOL (America Online),1.0,0.0,F,Online Stores & Services,0,145.84,29
4077,120299,"MyPoints: Easy to Use, Awesome Rewards!!!!!!",MyPoints.com,5.0,4.0,F,Online Stores & Services,43,72.0,29
4077,120499,Dreamcast: Video Game Heaven,Sega Dreamcast Grey Console,5.0,4.0,F,Games,62,62.0,29
4077,121299,MyPoints: My Waste of Time,MyPoints.com,1.0,0.0,F,Online Stores & Services,43,72.0,29
4077,121399,Is Northwest on it's way down? ,Northwest Airlines,2.0,0.0,F,Hotels & Travel,48,82.0,29
4078,21208,I Don't Get People's Fascination With This Place!,Olive Garden,3.0,4.0,M,Restaurants & Gourmet,49,32.0,14
4078,21308,"Among the Fast Food Choices, Wendy's is the Best",Wendy's,4.0,4.0,M,Restaurants & Gourmet,84,69.0,14
